prolific_id,task_timer_First Click,task_timer_Last Click,task_timer_Page Submit,task_timer_Click Count,attention_check,attention_check_DO,age,sex,race,politics_1,chinese_language_1
6019bbb66e5c2815ba3728b6,24.5,24.5,301.466,1,1,2|5|1|4|3,38,2,1,0,0
5b07afedd4b87a0001777c01,24.085,24.085,300.182,1,1,5|3|2|1|4,28,3,7,1,0
5e754c3024d7c90c555cfee2,13.347,13.347,301.86,1,1,2|3|1|5|4,22,2,7,2,0
5ff5ca8cd0b2850877119272,6.478,6.478,301.173,1,4,3|1|2|4|5,,,,,
6283f8c5dc230fe36cecf6aa,20.558,20.558,301.564,1,1,5|2|1|4|3,27,3,7,3,1
6043cbd95042bc3eba7b4bc1,9.902,9.902,301.312,1,3,3|5|1|4|2,,,,,
5dc592c6aa431440aa755d5b,6.232,13.418,218.006,2,4,3|1|2|4|5,,,,,
616a6204b989f71da0a1a889,0,0,300.012,0,2,3|4|2|1|5,,,,,
629fa1621a178f4160f4b187,40.547,40.547,301.983,1,1,3|5|4|2|1,24,1,1,6,0
6282a009d98ec3cafb4d8d48,4.493,4.493,289.936,1,4,4|1|5|2|3,,,,,
5e87206614560f0118569c49,1.153,1.701,261.096,2,1,1|4|3|5|2,49,2,7,5,0
,,,,,,,,,,,
62a77b8a05e94c6dc9bd0b91,5.114,5.114,301.827,1,1,5|2|3|1|4,20,1,7,5,
5b71d15cc727a90001530313,10.339,10.339,189.93,1,1,5|1|4|3|2,42,1,7,3,0
58a4b1b61521230001ebfd11,6.655,6.655,253.972,1,4,4|2|1|5|3,,,,,
596fea64a5c32a0001584755,5.682,5.682,301.703,1,1,4|3|1|2|5,30,2,7,2,0
60fdf5e83b1de9a21e8ef4e5,4.774,4.774,277.73,1,1,3|5|4|2|1,20,2,7,3,0
5f0a1a071bd6332cf8eb0ebd,19.245,19.245,301.738,1,4,4|1|2|5|3,,,,,
614f2b16d983019aeace1fe5,26.069,26.069,281.669,1,1,1|2|3|4|5,27,2,7,0,0
57029ece68c641000f0c8db7,2.464,2.464,239.383,1,4,3|4|1|2|5,,,,,
5d8b7c00f6c3640019267f3b,3.963,3.963,246.007,1,1,1|4|5|3|2,40,2,7,5,
610008383c0a128712403745,49.101,49.101,301.584,1,1,1|2|3|5|4,44,2,7,1,0
603032b2b88b07e8aceb10c4,11.19,11.19,301.358,1,1,2|1|5|3|4,29,2,8,5,0
5a35c95457d4450001236f70,4.149,9.819,301.133,2,5,2|3|5|1|4,,,,,
6116c9b6db8511d0a58bdec9,14.886,14.886,240.388,1,1,4|5|2|1|3,39,1,7,5,0
608f7a9f4b73593aa6d2164c,14.16,14.728,301.738,2,1,4|1|5|2|3,31,2,7,2,0
5fdca41ecb769722e2266d8a,18.17,18.17,302.07,1,2,1|2|4|3|5,,,,,
5a2dc611390d120001c70ac2,1.974,22.625,301.945,2,1,1|2|3|5|4,29,1,7,4,0
62a8a5ec0734af7505d58d41,1.347,1.347,301.08,1,1,1|5|2|3|4,37,2,7,2,0
5eae37af3ac6885048af8db3,29.678,29.678,283.597,1,1,5|1|3|2|4,24,1,7,4,0
5f6e36c7f042f033d0f97bc1,8.912,10.857,277.908,2,1,1|4|5|3|2,31,1,7,5,0
61005aac8450a59d3d0e233d,4.379,160.481,267.684,28,1,3|1|4|5|2,21,2,7,1,0
5c99901553deaa0014cc1565,25.553,25.553,301.848,1,1,4|1|5|3|2,36,2,7,2,0
60d66ec4a3c13ac0f607e7d9,1.846,2.048,181.294,2,2,3|5|4|2|1,,,,,
60f76ab1369e902a33af0074,25.903,25.903,301.909,1,1,5|3|2|1|4,21,2,1,1,0
615b5d9b0b5942de8db28622,211.1,211.1,301.774,1,4,2|4|3|5|1,,,,,
5c3fd0d4c2d0b700017d02cd,24.52,24.52,253.714,1,1,5|4|2|3|1,33,1,7,2,0
62956b80a58bce0977f0fb12,63.772,63.772,301.509,1,1,3|4|5|2|1,59,2,7,0,0
60cea844a7fff29a2a57f97e,15.809,15.809,301.034,1,1,4|1|5|2|3,49,1,7,4,0
60011631ba2fd427102d9489,41.929,41.929,301.546,1,1,2|1|5|3|4,40,2,7,2,0
5e0991a71d460724ba56794e,20.437,20.437,300.881,1,1,2|4|1|5|3,24,2,1,5,0
5eaf89868dc798686228174b,28.782,28.782,301.583,1,1,2|4|5|3|1,58,2,2,1,0
60fdfd265d53f620ef2c3929,9.664,9.664,222.128,1,4,5|2|4|3|1,,,,,
6110916cf0537a104af5fb0b,4.908,291.375,300.126,6,1,1|2|5|3|4,29,2,7,0,0
62a8dffe33241f48b53d95c9,7.451,7.451,301.409,1,4,3|2|1|4|5,,,,,
5e483052a742a3000f7c15e8,4.347,4.347,301.814,1,1,2|4|1|5|3,32,2,7,0,0
5ffbe711c5981467b40dca13,16.595,16.595,301.975,1,2,2|5|3|1|4,,,,,
60f8adb9a315f316c3aee425,27.962,27.962,301.237,1,1,2|3|4|5|1,43,2,8,1,0
60fe3ebe79bcffa30c2aef75,26.123,26.123,301.433,1,5,4|2|1|5|3,,,,,
5eea18fc3e537f0c21f2e9df,15,15,301.633,1,4,3|4|1|5|2,,,,,
5dd3e25ec5faa23c1c65fbb7,5.493,5.493,301.365,1,4,4|5|3|2|1,,,,,
628bd28fc02600d0f26d8273,16.302,16.302,301.467,1,1,2|5|1|4|3,67,1,7,5,0
61311ced4c5db76e4e0c23b3,14.023,14.023,301.443,1,1,2|3|4|1|5,21,2,7,4,0
62963cba834624f06ce0b80e,2.342,2.342,248.891,1,4,3|5|1|2|4,,,,,
5d901b10d7a21a001d635d12,16.643,16.643,301.963,1,1,5|3|1|4|2,31,1,7,5,0
5bdc0ac19ab26e0001a46814,19.66,19.66,301.111,1,4,5|4|2|3|1,,,,,
5c257b7dda51990001e2787c,41.506,41.506,301.018,1,4,3|1|2|5|4,,,,,
5d844d920af9530001c58a35,5.686,5.686,301.04,1,5,4|5|3|2|1,,,,,
599eaf0fbfd73c00010ea24e,19.168,19.168,279.367,1,1,2|1|3|4|5,43,2,7,0,0
5fd23ecda6599f06a53f4f62,27.088,27.088,194.638,1,1,4|1|3|5|2,49,1,7,5,2
5c40bb8880392f00015e8910,43.217,43.217,301.131,1,1,3|2|1|5|4,54,2,7,5,0
56259489ed6e5a0005c80fde,8.715,15.804,301.151,2,1,2|3|4|5|1,36,1,7,3,0
5d9f0981b22ffb00118e84cd,4.084,4.084,301.508,1,1,3|2|5|1|4,52,2,7,5,0
5c9b11249cd82b00174fd7ad,5.758,5.758,227.641,1,4,1|5|3|4|2,,,,,
60de50896b0ce86b84a2ee24,17.55,17.55,301.476,1,1,2|4|3|1|5,45,2,7,5,
5b70ed4b99982e000145eb7b,41.688,41.688,301.376,1,2,3|4|1|5|2,,,,,
5d79375d794d900017671c07,7.403,7.403,301.688,1,1,5|2|3|4|1,48,2,7,5,0
5eecf89bb465300e9b0d1141,2.641,188.31,188.531,7,1,3|2|1|5|4,22,1,7,0,0
5cef6401cd01760016535b53,11.142,184.55,184.878,2,1,3|2|4|1|5,21,1,1,2,0
5e52d0122f5f952f2a7b6b28,6.38,6.38,242.122,1,1,1|2|5|3|4,37,1,7,5,1
610e063896c52970e2c24bb5,27.203,27.203,301.971,1,1,2|1|5|3|4,18,3,7,2,0
6094a41f36a19091aa12d460,6.6,6.6,301.876,1,1,5|3|4|2|1,40,1,7,4,0
6083a723155840ab8e6b985c,8.107,8.107,285.466,1,4,1|5|4|3|2,,,,,
5b97f8988ae8150001c7a887,7.579,7.579,301.861,1,1,2|4|5|1|3,44,1,7,2,0
6297a20aee09a0f807317774,4.647,178.905,181.516,2,2,1|2|3|5|4,,,,,
5b33a01fa8327d0001003821,2.453,2.453,301.547,1,1,3|4|2|1|5,68,2,7,5,0
6292f0eee1ac4e99987e9a90,7.987,7.987,297.545,1,1,4|3|2|1|5,22,1,7,0,0
5f1bf8c6fe7ca34249b7c334,0,0,301.055,0,1,1|4|5|3|2,28,2,7,1,0
6275757da6d861932cb9beb4,20.593,20.593,301.078,1,3,3|4|2|1|5,,,,,
5e39a13ba532a30419772ab7,4.887,4.887,224.477,1,5,4|1|5|2|3,,,,,
5cbcfce214b3cb0015f03471,17.391,19.137,301.684,2,5,1|5|4|3|2,,,,,
60b088283f529f44ae7ccd37,26.896,34.039,301.283,3,1,5|1|2|3|4,42,2,7,0,0
5eb879035275547d0fcdd610,8.964,55.614,224.805,3,1,3|1|5|4|2,43,1,7,5,1
6164edb74198a072bd18dea3,0.861,202.086,202.865,16,4,1|5|4|3|2,,,,,
6298d20b980818fad3ef7562,10.468,10.926,300.015,2,1,3|1|5|2|4,35,1,7,2,0
6234f3b76898c3f34402935c,31.001,31.001,301.463,1,1,1|2|5|4|3,51,2,7,1,0
6293d03cbb8e035640e637a9,34.843,34.843,301.382,1,1,1|5|2|3|4,18,1,7,0,0
5d07797b84ba270017199b08,35.247,35.247,301.936,1,1,5|2|1|3|4,46,2,7,5,0
611fea2ee098d9556aaa6c17,7.017,44.029,301.505,2,1,3|2|1|5|4,26,2,8,5,0
602832dd1ad4756b90eebdda,3.498,3.498,291.109,1,1,5|1|3|4|2,24,4,2,4,0
6109e5a0f7755d8fcba8b50c,12.253,14.6,301.611,2,5,5|3|2|1|4,,,,,
6042794fe3c49714bee3e9cf,1.434,43.797,301.583,2,4,5|1|4|3|2,,,,,
610789475324655db01cdfbf,3.7,3.7,301.207,1,4,4|1|2|5|3,,,,,
55c43918fdf99b080551e044,21.82,21.82,301.159,1,1,4|5|3|1|2,34,1,1,5,1
5dc59aea37023940a0860dea,27.347,27.347,312.907,1,1,1|2|4|3|5,53,1,7,4,0
62686c6e90a0f6fe0a6c646a,3.669,30.117,301.448,3,1,5|4|1|2|3,52,1,7,3,0
5bdcf0649ab26e0001a4947c,5.474,185.712,185.935,4,1,1|5|3|2|4,27,1,7,0,0
5e03e20e4cac68ec33187d80,20.604,20.604,301.558,1,1,4|5|3|2|1,29,2,7,4,0
5ddee8912e6c77e798b5882f,7.884,7.884,224.917,1,4,5|4|2|3|1,,,,,
62965ec07b0c2ccd6c4da0ad,14.224,14.224,228.312,1,1,4|3|1|2|5,29,2,7,1,0
5a7257d7ff6f2300013f0989,19.7,19.7,301.151,1,1,2|3|1|4|5,58,1,7,3,0
610047b91150f99de033112c,31.585,31.585,186.246,1,1,4|1|3|2|5,22,2,7,1,0
6100319c0c4730c4efc39c40,12.806,12.806,301.392,1,1,2|4|1|3|5,69,2,7,1,0
556ca496fdf99b5c3bd16a6c,6.148,6.148,240.017,1,1,2|1|4|5|3,36,1,7,3,0
601606098a88c4772f7db43c,12.496,12.496,268.732,1,5,3|5|1|2|4,,,,,
62a37a1bcf75a1251e77d685,276.613,276.613,277.896,1,1,4|1|3|2|5,32,2,7,5,0
5e1fc8d45427912f6143b012,8.713,8.713,292.853,1,1,3|5|2|4|1,59,2,7,4,0
5c022a94d183df000141f1e2,9.995,9.995,283.733,1,1,3|4|1|5|2,51,1,7,7,0
610cd0b96470d70ab18955fa,18.987,18.987,301.889,1,4,5|2|4|1|3,,,,,
6293e6c41fde6ff01b69760b,9.734,9.734,301.199,1,1,1|4|2|3|5,22,1,2,5,0
6110ddd172ac2b9522e22511,4.792,4.792,301.244,1,4,5|1|3|2|4,,,,,
5f5a0f0a612008057e58d281,32.901,32.901,301.161,1,1,1|5|4|2|3,65,2,7,1,0
60414290c0fe110c5aae7e22,6.17,6.17,301.832,1,4,1|3|4|5|2,,,,,
629e79b6841f34611ba585dc,8.19,137.811,251.077,3,5,4|2|5|3|1,,,,,
602c7d31733e6a57dda83b9d,6.926,6.926,301.819,1,3,5|2|4|1|3,,,,,
5a9262251eda410001360b2c,14.115,36.83,301.47,7,1,5|4|2|1|3,39,2,8,8,0
5d2568343eee7d001841a16b,11.426,11.426,301.906,1,4,3|1|5|4|2,,,,,
600b3c619b60d80b64f9de39,8.344,8.344,206.364,1,1,3|2|5|4|1,22,1,1,4,1
62896d97416a828a2c88b2ff,21.132,75.885,186.724,2,4,4|5|1|3|2,,,,,
6090578fb2299eacaec32b7a,8.734,8.734,301.857,1,1,5|2|1|4|3,27,2,1,0,0
607cc53ae36a9651f1620f66,2.693,3.228,301.725,2,3,4|5|2|1|3,,,,,
5f0b72abf1f9950dce8c0f1e,5.842,172.063,183.654,5,4,1|5|2|4|3,,,,,
57a12661913c7100019767b7,5.792,26.375,301.467,2,1,4|1|2|3|5,38,1,7,2,0
61133aac17eca301e15a9933,49.813,49.813,301.896,1,1,4|5|2|3|1,22,2,6,5,0
57d6dd8d6598aa000199188b,1.294,1.451,292.299,2,3,2|4|3|5|1,,,,,
60f0ca8a538a9dee4e1b3c21,23.517,23.517,301.823,1,1,5|3|2|1|4,28,2,3,4,0
628dec55823f672331c68577,36.584,36.584,301.816,1,1,1|4|3|2|5,23,1,2,4,2
5f5353ff017c5965165df065,23.177,23.177,301.071,1,1,2|3|4|5|1,37,2,7,2,0
58c1d1fb8a3f870001c0e34c,7.628,7.628,301.858,1,1,4|1|5|3|2,27,2,7,2,0
629bcd92a63c65d4b4786290,13.077,163.273,182.296,2,1,2|3|5|4|1,44,2,7,1,0
629e4edaf0a02416eb3d5a7a,18.907,18.907,291.258,1,1,4|5|2|3|1,35,1,1,2,0
56e6a66af6ed900006a5867c,12.732,12.732,301.809,1,4,2|4|1|3|5,,,,,
628f9ef985fa6d3dc816672c,41.208,41.208,301.445,1,1,4|1|5|2|3,30,1,8,4,1
56ac1289f209e0000cdabbe6,11.979,21.979,301.228,2,1,4|5|1|3|2,51,1,7,4,0
56e6a66af6ed900006a5867c,1.768,165.956,187.286,9,1,3|5|2|4|1,42,1,7,5,0
609e28fc803b1238af34d1c4,10.157,10.157,301.338,1,3,4|5|3|2|1,,,,,
628d3a8deba8560a44729035,10.075,10.075,301.456,1,4,4|5|3|2|1,,,,,
628fa8e2c2516fe9c6bfe0be,3.769,180.156,286.231,5,1,3|2|5|4|1,43,1,7,5,0
611830fe665c7b68723910b3,5.55,5.55,301.239,1,5,4|5|3|1|2,,,,,
601051fc5b20e2334bdbe0be,9.078,164.469,181.659,10,1,5|4|1|3|2,32,2,7,2,0
628eada3a9c9e0776884f27d,2.731,2.731,301.802,1,4,3|1|4|5|2,,,,,
629e112d75f3665c8362ab6f,4.29,178.446,181.477,3,1,2|3|5|4|1,27,1,7,6,0
5f517aee81a7783c2ff68960,4.465,26.25,301.384,3,1,4|1|2|5|3,21,1,7,7,0
6287570360142b713b513e70,15.962,15.962,301.412,1,1,2|4|1|5|3,28,1,7,2,
56fb36ca34a0d3000b1a5701,18.157,18.157,301.591,1,5,4|3|5|1|2,,,,,
5dc4a52b655ad2371b62dfd1,7.962,29.057,301.862,2,4,2|4|1|3|5,,,,,
62a782fdb1d4b2ae48d8e5be,10.615,10.615,301.783,1,3,4|2|1|3|5,,,,,
5d76d2f7daf4bf00164d585b,8.286,8.286,301.417,1,1,5|1|2|3|4,27,2,7,2,0
5e437d7404eaba215eafbd2a,12.747,12.747,301.511,1,1,3|1|4|5|2,39,2,7,5,0
62a1b8d652f56a471ec67c7e,24.632,24.632,301.503,1,1,4|5|1|2|3,33,1,7,3,0
5d4ac837d2844e0001ecf699,29.155,29.155,301.817,1,1,4|1|5|3|2,34,2,3,6,0
629e14926445a9ba0eb2e22d,11.787,11.787,301.072,1,3,5|1|3|2|4,,,,,
5cbe00898f939c0017c0b9d8,15.026,15.026,301.342,1,3,5|1|3|2|4,,,,,
61fa8f62f42b633229bbf165,32.434,32.434,301.048,1,1,4|5|1|3|2,23,1,7,6,0
629e1318ee94f2d573fe3a02,22.44,22.44,301.269,1,1,1|2|5|4|3,36,1,7,4,0
60c261fc9149f791a6f20a54,16.68,16.68,301.821,1,1,4|5|2|3|1,37,2,7,3,0
5c51d7f198b0ff000110dba8,21.142,26.907,301.599,2,1,2|4|3|5|1,54,1,7,7,0
6115876c2cec0c96c418f906,20.741,20.741,301.977,1,1,3|4|5|1|2,20,3,7,0,0
62a11eb232f52e35bf745657,7.036,7.036,275.411,1,4,4|3|5|2|1,,,,,
55a29659fdf99b5ff49937d3,0,0,301.927,0,1,5|4|2|3|1,47,2,7,8,0
583a39b6a95836000153ac87,23.457,23.457,299.045,1,1,5|2|1|3|4,55,3,7,0,0
5fadeb340e10471fdeb5fbf5,9.065,9.065,274.959,1,2,3|1|2|4|5,,,,,
629126a2ec00b5c7aba099f5,9.245,9.245,258.717,1,1,4|3|2|1|5,28,1,3,6,0
60fe3f623a905f955c654cb5,12.604,12.604,301.445,1,5,4|1|3|2|5,,,,,
62867b51e71606f873d41b05,60.674,60.674,301.247,1,1,4|2|5|3|1,35,1,7,0,0
5ebb08645a22c70c2ba793e4,5.201,20.38,301.648,3,1,4|5|3|2|1,28,2,1,1,1
608e2cb9067eb028500433d5,17.184,17.184,301.486,1,1,2|1|3|5|4,66,2,7,6,0
5e649a2aef9fad22148acad3,3.323,3.323,288.315,1,1,5|3|2|1|4,21,2,7,0,0
5d6394518df2870001a74b42,7.576,7.576,301.475,1,4,3|5|4|2|1,,,,,
5e643d29df313c1ced363682,35.241,35.241,301.479,1,1,4|2|1|3|5,39,3,7,0,0
6266a849331cc893a5b22cf6,7.472,7.472,299.322,1,1,4|5|3|2|1,54,1,2,4,0
5fc389e2c42314669487410a,15.2,15.2,301.862,1,1,5|1|4|2|3,53,2,7,0,0
5e649034feba20212bb729db,2.844,26.786,301.109,7,1,4|1|3|5|2,30,1,7,0,0
5655ebb8d970d100118327ab,8.043,10.73,301.932,2,1,1|2|4|3|5,35,2,7,0,3
60fe250b3984cfdf32c05860,10.857,10.857,301.466,1,5,3|2|5|1|4,,,,,
5ee3c01c7247c006e9a3f4fd,9.089,9.089,300.094,1,1,4|1|2|3|5,57,2,7,2,0
5be8851e85c7610001de0a07,,,,,,,,,,,
60e02ddc0d8cf13202683d71,1.975,12.02,227.61,3,1,3|2|5|1|4,20,1,7,2,0
62029b75ef1cb18a1337c83f,,,,,,,,,,,
6113fef8a9a42a062212ae84,,,,,,,,,,,
61099b4c0e17f05142f54a2d,,,,,,,,,,,
5c11f8202b16ba0001c8b764,8.928,8.928,301.938,1,,,,,,,
5fa9dab94f9d9c26d3db5226,24.034,24.034,235.196,1,1,2|4|5|3|1,29,1,7,2,0
5abc27db68b65b00018d000f,58.914,258.171,301.844,6,,,,,,,
61fa92365719bc09cb8349bf,21.65,55.382,301.23,2,,,,,,,
5c4ea7c3889752000156ddc5,,,,,,,,,,,
614eb0a92921d8c1e64f4873,27.77,27.77,301.335,1,1,3|5|2|4|1,52,2,7,0,0
60ff78f6695b4e27b7eb17bb,,,,,,,,,,,
5e87206614560f0118569c49,15.64,15.64,301.391,1,,,,,,,
6234e0d21fd4424ca06648fc,,,,,,,,,,,
6066736bd2119d9d5f7232eb,12.92,89.577,301.499,6,,,,,,,
61037870224cbf560e7709e4,8.036,8.036,208.933,1,,,,,,,
5e815773285d3883ba2fbbcf,,,,,,,,,,,
5d9f0981b22ffb00118e84cd,,,,,,,,,,,
62a8a5ec0734af7505d58d41,28.278,92.152,301.717,3,,,,,,,
5e59d06dba01301e73cba7d6,,,,,,,,,,,
5f1e7c6768c1bb8491f39191,,,,,,,,,,,
5eec80174c76f2017770df8d,,,,,,,,,,,
60b5b426d7e50f69a524a58b,,,,,,,,,,,
5fcad4ecaacaf17c8640ebd9,9.216,9.216,257.725,1,1,5|3|1|2|4,33,2,8,2,
628682de4bd770520715a2f9,0,0,300.011,0,,,,,,,
628e1bdc4d5e1b1bdefb8f50,113.328,113.328,301.305,1,,,,,,,
607cf097a3821b079390ebb5,,,,,,,,,,,
,,,,,,,,,,,
5f2545d96aeaad0009f624df,,,,,,,,,,,
5ba5d8b960f3d50001697104,48.736,48.736,301.976,1,,,,,,,
61156fb7682e2fb813d3e45d,,,,,,,,,,,
6286642579f3b7c4d3f863c4,,,,,,,,,,,
612088da3892858c374cf837,,,,,,,,,,,
5c38416519ceb400010c222a,,,,,,,,,,,
,,,,,,,,,,,
62826187ebe3120bdbfb60a1,8.367,15.542,301.603,3,,,,,,,
5fbda708e368851d517637de,,,,,,,,,,,
60f0ff19f34b192357d7d5d8,2.336,4.137,301.688,2,,,,,,,
60a0112f4dc7f653b245c172,,,,,,,,,,,
5e246a245e04db6e93e22666,,,,,,,,,,,
5c11f3face422b0001d69416,,,,,,,,,,,
5c11f3face422b0001d69416,67.024,67.024,301.525,1,,,,,,,
60414290c0fe110c5aae7e22,,,,,,,,,,,
610c33fa86d4d9bbc1345e36,,,,,,,,,,,
6291861f8937c6bd60637cf8,14.775,14.775,301.458,1,1,3|4|5|2|1,35,1,1,9,0
5d60b5beea1c1c0001c98bf6,,,,,,,,,,,
5a9a6f5f35237b000112920f,,,,,,,,,,,
60fceac0ce36d6e4fb4cb429,,,,,,,,,,,
60fceac0ce36d6e4fb4cb429,,,,,,,,,,,
616faf3ab8c53e7a73a5dea5,,,,,,,,,,,
5b49eba46a4f840001f77485,,,,,,,,,,,
628871b6cc9e44fe95fb7f48,5.316,5.316,237.654,1,1,1|3|4|2|5,19,2,7,,
628fa8e2c2516fe9c6bfe0be,6.99,11.763,304.796,2,,,,,,,
5f5ae0be76a9511f219212a9,,,,,,,,,,,
628bc01ee93949f088570d3c,5.192,5.192,246.802,1,,,,,,,
6100b6365a3b961d941f7071,24.898,24.898,269.997,1,1,5|3|1|2|4,23,2,7,1,0
6297567582d2ed2d88ae0450,,,,,,,,,,,
5cc7615f47a31a0001baec75,,,,,,,,,,,
5b33a01fa8327d0001003821,29.184,63.839,319.757,2,,,,,,,
5e6a81569f3af202438c5fde,52.164,52.164,301.064,1,1,1|5|4|2|3,48,2,5,6,0
5c51d7f198b0ff000110dba8,,,,,,,,,,,
628494ff07588fd08c37117b,,,,,,,,,,,
62a71d29bdbd351464c36503,,,,,,,,,,,
6101c2aaf8555a745cfb472b,,,,,,,,,,,
5db3189ea4c748000bd51dcb,13.915,169.717,301.861,3,,,,,,,
559b1e92fdf99b426abb6227,16.766,25.706,301.205,2,,,,,,,
